exec_date,BUY,SELL
2016-04-29,1223.0,1151.0
2016-04-30,1478.0,1524.0
2016-05-01,2862.0,2964.0
2016-05-02,3470.0,3439.0
2016-05-03,3259.0,3485.0
2016-05-04,2149.0,2257.0
2016-05-05,1928.0,1995.0
2016-05-06,1803.0,1622.0
2016-05-07,1834.0,1600.0
2016-05-08,1279.0,1230.0
2016-05-09,2058.0,1592.0
2016-05-10,2261.0,2300.0
2016-05-11,2310.0,2054.0
2016-05-12,2502.0,2246.0
2016-05-13,2504.0,2132.0
2016-05-14,2560.0,2210.0
2016-05-15,2076.0,1719.0
2016-05-16,2516.0,2246.0
2016-05-17,1843.0,1791.0
2016-05-18,2687.0,2006.0
2016-05-19,1773.0,2181.0
2016-05-20,2525.0,2802.0
2016-05-21,3026.0,2628.0
2016-05-22,1705.0,1479.0
2016-05-23,1691.0,1635.0
2016-05-24,1770.0,1483.0
2016-05-25,2353.0,2393.0
2016-05-26,2323.0,2112.0
2016-05-27,5363.0,5611.0
2016-05-28,4824.0,5587.0
2016-05-29,8367.0,9054.0
2016-05-30,6972.0,6959.0
2016-05-31,7024.0,6923.0
2016-06-01,7076.0,7883.0
2016-06-02,5554.0,5652.0
2016-06-03,4049.0,4599.0
2016-06-04,5496.0,5248.0
2016-06-05,4485.0,4566.0
2016-06-06,4706.0,4636.0
2016-06-07,4004.0,4023.0
2016-06-08,4128.0,4195.0
2016-06-09,3580.0,3942.0
2016-06-10,2834.0,2833.0
2016-06-11,2526.0,2489.0
2016-06-12,6338.0,6301.0
2016-06-13,9562.0,8562.0
2016-06-14,7087.0,6933.0
2016-06-15,5830.0,5666.0
2016-06-16,7895.0,7847.0
2016-06-17,7310.0,12002.0
2016-06-18,3727.0,8499.0
2016-06-19,3639.0,5399.0
2016-06-20,3331.0,4264.0
2016-06-21,6710.0,6685.0
2016-06-22,5850.0,6124.0
2016-06-23,7883.0,8642.0
2016-06-24,8228.0,9594.0
2016-06-25,4465.0,6495.0
2016-06-26,3662.0,4357.0
2016-06-27,3950.0,4024.0
2016-06-28,3329.0,3660.0
2016-06-29,4089.0,6124.0
2016-06-30,4002.0,7112.0
2016-07-01,4170.0,7804.0
2016-07-02,5082.0,7634.0
2016-07-03,6431.0,10621.0
2016-07-04,5471.0,9014.0
2016-07-05,5701.0,7680.0
2016-07-06,4267.0,6033.0
2016-07-07,7811.0,7817.0
2016-07-08,6407.0,6516.0
2016-07-09,8097.0,8639.0
2016-07-10,7907.0,7073.0
2016-07-11,8217.0,8012.0
2016-07-12,6465.0,6662.0
2016-07-13,7711.0,7583.0
2016-07-14,5481.0,5126.0
2016-07-15,5248.0,4315.0
2016-07-16,3804.0,3819.0
2016-07-17,5381.0,4610.0
2016-07-18,4357.0,4476.0
2016-07-19,4382.0,4537.0
2016-07-20,6477.0,6814.0
2016-07-21,7453.0,7940.0
2016-07-22,5677.0,6075.0
2016-07-23,6582.0,6522.0
2016-07-24,5004.0,5370.0
2016-07-25,3586.0,4277.0
2016-07-26,3004.0,3790.0
2016-07-27,4881.0,5406.0
2016-07-28,3295.0,4066.0
2016-07-29,4547.0,4734.0
2016-07-30,3112.0,2914.0
2016-07-31,5639.0,5811.0
2016-08-01,6338.0,6871.0
2016-08-02,9322.0,9486.0
2016-08-03,10962.0,11292.0
2016-08-04,7368.0,9179.0
2016-08-05,3980.0,4391.0
2016-08-06,4370.0,4905.0
2016-08-07,4639.0,6468.0
2016-08-08,4275.0,6330.0
2016-08-09,4876.0,7020.0
2016-08-10,3882.0,6233.0
2016-08-11,2195.0,2636.0
2016-08-12,3123.0,4876.0
2016-08-13,2869.0,4584.0
2016-08-14,4780.0,5575.0
2016-08-15,6918.0,7772.0
2016-08-16,6413.0,7397.0
2016-08-17,5703.0,6751.0
2016-08-18,4649.0,6370.0
2016-08-19,4397.0,4584.0
2016-08-20,3064.0,3185.0
2016-08-21,2822.0,3773.0
2016-08-22,3883.0,5355.0
2016-08-23,5584.0,6083.0
2016-08-24,4494.0,4901.0
2016-08-25,7142.0,7584.0
2016-08-26,6412.0,7367.0
2016-08-27,7624.0,7419.0
2016-08-28,5279.0,6392.0
2016-08-29,3677.0,4672.0
2016-08-30,5341.0,4855.0
2016-08-31,3370.0,4346.0
2016-09-01,3853.0,3659.0
2016-09-02,3738.0,4947.0
2016-09-03,3127.0,4457.0
2016-09-04,4771.0,6071.0
2016-09-05,4881.0,6294.0
2016-09-06,4240.0,6025.0
2016-09-07,3243.0,5775.0
2016-09-08,9433.0,6048.0
2016-09-09,5144.0,5394.0
2016-09-10,7747.0,5924.0
2016-09-11,6707.0,5717.0
2016-09-12,5304.0,6479.0
2016-09-13,4043.0,4741.0
2016-09-14,4197.0,4893.0
2016-09-15,3632.0,4356.0
2016-09-16,3661.0,4532.0
2016-09-17,1823.0,2827.0
2016-09-18,3605.0,4227.0
2016-09-19,4205.0,4309.0
2016-09-20,3618.0,4276.0
2016-09-21,6001.0,6350.0
2016-09-22,3885.0,5250.0
2016-09-23,4149.0,4430.0
2016-09-24,3933.0,3527.0
2016-09-25,4304.0,3998.0
2016-09-26,5245.0,5343.0
2016-09-27,5061.0,4805.0
2016-09-28,4953.0,5112.0
2016-09-29,4912.0,4748.0
2016-09-30,3449.0,4322.0
2016-10-01,4566.0,4401.0
2016-10-02,4218.0,3638.0
2016-10-03,3178.0,3738.0
2016-10-04,3761.0,4367.0
2016-10-05,4128.0,3993.0
2016-10-06,5020.0,4629.0
2016-10-07,5814.0,5829.0
2016-10-08,4344.0,4876.0
2016-10-09,4592.0,4316.0
2016-10-10,5480.0,5385.0
2016-10-11,6012.0,7289.0
2016-10-12,5269.0,6735.0
2016-10-13,4844.0,6616.0
2016-10-14,6192.0,7159.0
2016-10-15,5782.0,6254.0
2016-10-16,7073.0,7514.0
2016-10-17,6456.0,7180.0
2016-10-18,6423.0,6708.0
2016-10-19,4468.0,7153.0
2016-10-20,4198.0,5535.0
2016-10-21,3474.0,4250.0
2016-10-22,3838.0,5563.0
2016-10-23,5399.0,6999.0
